student_id,department,academic_year
jp433,EDUC,2016 - 2017
tk294,ENGL,2016 - 2017
gt759,WRIT,2016 - 2017
sh828,POSC,2016 - 2017
cr984,HIST,2016 - 2017
da356,CHEM,2016 - 2017
ka353,SOAN,2016 - 2017
pm717,WRIT,2016 - 2017
jm301,ENGL,2016 - 2017
gj299,PBSC,2016 - 2017
jm200,MUSI,2016 - 2017
dm561,EDUC,2016 - 2017
kw963,CHEM,2016 - 2017
ch186,ENGL,2016 - 2017
am709,BIOL,2016 - 2017
mb121,ARTS,2016 - 2017
cw188,ENST,2016 - 2017
ps415,MATH,2016 - 2017
jm266,EDUC,2016 - 2017
lw961,COSC,2016 - 2017
cd723,ARTS,2016 - 2017
tt416,SOAN,2016 - 2017
aj508,POSC,2016 - 2017
ah612,ENGL,2016 - 2017
ts312,EALL,2016 - 2017
jw233,CLAS,2016 - 2017
aj738,HIST,2016 - 2017
vg577,PHIL,2016 - 2017
ln591,SOAN,2016 - 2017
ms859,BIOL,2016 - 2017
mh256,EALL,2016 - 2017
mb648,PHAS,2016 - 2017
jh506,HIST,2016 - 2017
rt626,SOAN,2016 - 2017
bb589,EDUC,2016 - 2017
tz309,SOAN,2016 - 2017
cb589,PBSC,2016 - 2017
ph413,RMLL,2016 - 2017
jb936,ECON,2016 - 2017
jk256,EDUC,2016 - 2017
js458,POSC,2016 - 2017
mr796,ARTS,2016 - 2017
kg320,ENGL,2016 - 2017
ed872,PHAS,2016 - 2017
lj103,MATH,2016 - 2017
aa168,ECON,2016 - 2017
km617,PBSC,2016 - 2017
tv266,HIST,2016 - 2017
dr461,MATH,2016 - 2017
jw266,EDUC,2016 - 2017
rb435,RELG,2016 - 2017
ej757,GEOG,2016 - 2017
cw745,MATH,2016 - 2017
db445,RMLL,2016 - 2017
kw412,ENGL,2016 - 2017
cj576,ENGL,2016 - 2017
jr191,CLAS,2016 - 2017
lp429,MATH,2016 - 2017
lw189,EDUC,2016 - 2017
cs480,PBSC,2016 - 2017
cd731,HIST,2016 - 2017
gd929,RELG,2016 - 2017
as775,ENGL,2016 - 2017
jr380,RMLL,2016 - 2017
jc703,PHAS,2016 - 2017
ak233,RMLL,2016 - 2017
sw581,ARTS,2016 - 2017
kb926,EDUC,2016 - 2017
as133,MUSI,2016 - 2017
rb924,GEOG,2016 - 2017
nd752,ECON,2016 - 2017
nc855,RMLL,2016 - 2017
gb660,CHEM,2016 - 2017
kb598,ECON,2016 - 2017
pg239,RELG,2016 - 2017
jw746,GEOG,2016 - 2017
lh978,RMLL,2016 - 2017
ac999,POSC,2016 - 2017
br806,EDUC,2016 - 2017
rm520,BIOL,2016 - 2017
mu759,SOAN,2016 - 2017
hh102,POSC,2016 - 2017
mg128,COSC,2016 - 2017
tm963,BIOL,2016 - 2017
tr598,HIST,2016 - 2017
jm428,HIST,2016 - 2017
jc388,HIST,2016 - 2017
jd405,CHEM,2016 - 2017
bp960,PHAS,2016 - 2017
bc698,ARTS,2016 - 2017
vm151,BIOL,2016 - 2017
mb362,THEA,2016 - 2017
se485,RELG,2016 - 2017
ga373,EDUC,2016 - 2017
jl804,HIST,2016 - 2017
jr889,HIST,2016 - 2017
ml121,ENST,2016 - 2017
rc433,ARTS,2016 - 2017
ar107,ENST,2016 - 2017
dh314,ECON,2016 - 2017
cm644,GERM,2016 - 2017
lc537,ENGL,2016 - 2017
co151,EDUC,2016 - 2017
mm548,MUSI,2016 - 2017
jw912,HIST,2016 - 2017
cd624,WRIT,2016 - 2017
cd816,PHIL,2016 - 2017
ll289,EEGS,2016 - 2017
bw691,ARTS,2016 - 2017
ca476,ARTS,2016 - 2017
sg805,ENST,2016 - 2017
mk442,RMLL,2016 - 2017
jv675,WRIT,2016 - 2017
jm167,ARTS,2016 - 2017
kt743,BIOL,2016 - 2017
pp684,POSC,2016 - 2017
jh848,ENGL,2016 - 2017
mo654,HIST,2016 - 2017
mh358,RMLL,2016 - 2017
ts852,GEOG,2016 - 2017
cr820,SOAN,2016 - 2017
cp265,THEA,2016 - 2017
ps489,EDUC,2016 - 2017
jp966,GERM,2016 - 2017
rj436,ARTS,2016 - 2017
jj793,ARTS,2016 - 2017
cc534,ARTS,2016 - 2017
sb974,HIST,2016 - 2017
jb893,ARTS,2016 - 2017
aj144,RMLL,2016 - 2017
jb745,CHEM,2016 - 2017
bj232,SOAN,2016 - 2017
js144,ENGL,2016 - 2017
nb992,RMLL,2016 - 2017
ch712,ARTS,2016 - 2017
jc349,COSC,2016 - 2017
dc527,EALL,2016 - 2017
kh171,EDUC,2016 - 2017
ag380,ENGL,2016 - 2017
sg760,ARTS,2016 - 2017
wh670,RELG,2016 - 2017
sk414,RELG,2016 - 2017
ml901,EEGS,2016 - 2017
je995,PHAS,2016 - 2017
sh441,GEOG,2016 - 2017
mr166,ENGL,2016 - 2017
nr346,EEGS,2016 - 2017
lb426,THEA,2016 - 2017
rm279,RMLL,2016 - 2017
mh728,ECON,2016 - 2017
es360,EALL,2016 - 2017
vw685,EEGS,2016 - 2017
rt357,SOAN,2016 - 2017
sc446,ARTS,2016 - 2017
ch470,THEA,2016 - 2017
ds240,COSC,2016 - 2017
sm179,BIOL,2016 - 2017
bs820,ENST,2016 - 2017
tb934,EDUC,2016 - 2017
gl897,ARTS,2016 - 2017
sg188,RELG,2016 - 2017
ch947,ARTS,2016 - 2017
sc779,ARTS,2016 - 2017
aa335,SOAN,2016 - 2017
gj423,SOAN,2016 - 2017
gw251,BIOL,2016 - 2017
jc460,ARTS,2016 - 2017
jm616,ARTS,2016 - 2017
rd353,GEOG,2016 - 2017
jt158,PHAS,2016 - 2017
sb854,ENST,2016 - 2017
dc403,SOAN,2016 - 2017
da438,CHEM,2016 - 2017
mg923,CHEM,2016 - 2017
ei672,CLAS,2016 - 2017
jm107,MATH,2016 - 2017
gs318,MATH,2016 - 2017
kc820,COSC,2016 - 2017
jp157,PHIL,2016 - 2017
dh913,HIST,2016 - 2017
rg513,SOAN,2016 - 2017
kt891,BIOL,2016 - 2017
am863,COSC,2016 - 2017
ab264,SOAN,2016 - 2017
jf893,MATH,2016 - 2017
mf440,MUSI,2016 - 2017
kh472,SOAN,2016 - 2017
nh425,HIST,2016 - 2017
al998,ARTS,2016 - 2017
nw376,HIST,2016 - 2017
kh583,POSC,2016 - 2017
jg444,CLAS,2016 - 2017
ks632,SOAN,2016 - 2017
mr169,RELG,2016 - 2017
th786,BIOL,2016 - 2017
eb687,HIST,2016 - 2017
sp729,RELG,2016 - 2017
sl701,WRIT,2016 - 2017
ss421,GEOG,2016 - 2017
mb507,SOAN,2016 - 2017
mt877,CHEM,2016 - 2017
pt451,GEOG,2016 - 2017
dl829,WRIT,2016 - 2017
av489,HIST,2016 - 2017
sm323,PHIL,2016 - 2017
cm365,ENGL,2016 - 2017
gl731,PHIL,2016 - 2017
bc978,MATH,2016 - 2017
lf324,CHEM,2016 - 2017
rg112,PBSC,2016 - 2017
am967,HIST,2016 - 2017
wr584,ARTS,2016 - 2017
mm966,GEOG,2016 - 2017
jc711,GEOG,2016 - 2017
jc379,MUSI,2016 - 2017
pg794,ENST,2016 - 2017
tz920,ARTS,2016 - 2017
ne437,ENGL,2016 - 2017
dh692,EEGS,2016 - 2017
mg757,MATH,2016 - 2017
ab666,EALL,2016 - 2017
kb906,HIST,2016 - 2017
sl373,RMLL,2016 - 2017
cg846,ENGL,2016 - 2017
ee655,HIST,2016 - 2017
cw297,CHEM,2016 - 2017
me500,PHAS,2016 - 2017
pk668,ECON,2016 - 2017
cm605,CHEM,2016 - 2017
bs697,ARTS,2016 - 2017
jo201,GERM,2016 - 2017
am677,PBSC,2016 - 2017
at962,GEOG,2016 - 2017
aa277,PHIL,2016 - 2017
cw967,PHAS,2016 - 2017
pc456,EEGS,2016 - 2017
jk654,EALL,2016 - 2017
kp892,SOAN,2016 - 2017
tm857,PBSC,2016 - 2017
ed938,RELG,2016 - 2017
br318,SOAN,2016 - 2017
jj628,ARTS,2016 - 2017
rr537,RMLL,2016 - 2017
ac691,RMLL,2016 - 2017
cw763,HIST,2016 - 2017
mj371,HIST,2016 - 2017
so644,RELG,2016 - 2017
nm885,EEGS,2016 - 2017
ar454,BIOL,2016 - 2017
na879,MATH,2016 - 2017
jm344,MATH,2016 - 2017
kw786,PHAS,2016 - 2017
wc448,RMLL,2016 - 2017
eh977,PHIL,2016 - 2017
ah996,MATH,2016 - 2017
ct770,ARTS,2016 - 2017
mb480,GEOG,2016 - 2017
db135,RELG,2016 - 2017
bc916,HIST,2016 - 2017
sh222,ARTS,2016 - 2017
rc503,ARTS,2016 - 2017
sh906,EDUC,2016 - 2017
mb408,PHAS,2016 - 2017
jr697,POSC,2016 - 2017
bc222,CLAS,2016 - 2017
jh978,PBSC,2016 - 2017
dd631,HIST,2016 - 2017
mg805,EDUC,2016 - 2017
sp413,PHAS,2016 - 2017
jh872,HIST,2016 - 2017
ar527,CLAS,2016 - 2017
ms829,MATH,2016 - 2017
pj500,PBSC,2016 - 2017
ct389,ENGL,2016 - 2017
sd627,ENGL,2016 - 2017
bs524,ENST,2016 - 2017
ar773,MUSI,2016 - 2017
bm204,RMLL,2016 - 2017
jr593,HIST,2016 - 2017
ea831,GEOG,2016 - 2017
kk298,ENGL,2016 - 2017
mp846,PBSC,2016 - 2017
lj683,POSC,2016 - 2017
mb718,ARTS,2016 - 2017
rg553,SOAN,2016 - 2017
lt251,ARTS,2016 - 2017
ab824,POSC,2016 - 2017
jg407,POSC,2016 - 2017
ls778,PBSC,2016 - 2017
cl562,POSC,2016 - 2017
ct562,PHAS,2016 - 2017
ep904,ENGL,2016 - 2017
ps375,ECON,2016 - 2017
tb282,CHEM,2016 - 2017
ve645,EALL,2016 - 2017
jb909,ENGL,2016 - 2017
tg101,ENGL,2016 - 2017
lw515,PHAS,2016 - 2017
rr830,ECON,2016 - 2017
lc997,CHEM,2016 - 2017
bf952,EEGS,2016 - 2017
np796,ARTS,2016 - 2017
kh780,HIST,2016 - 2017
sm633,RELG,2016 - 2017
av918,RMLL,2016 - 2017
kh693,GERM,2016 - 2017
sm972,POSC,2016 - 2017
bs807,BIOL,2016 - 2017
mg720,ENGL,2016 - 2017
jb824,BIOL,2016 - 2017
mp896,HIST,2016 - 2017
cd591,THEA,2016 - 2017
ch675,GERM,2016 - 2017
jm223,HIST,2016 - 2017
db365,ARTS,2016 - 2017
pm285,PBSC,2016 - 2017
pn163,WRIT,2016 - 2017
rb447,EDUC,2016 - 2017
jr759,ENST,2016 - 2017
ms119,COSC,2016 - 2017
jl826,EEGS,2016 - 2017
rm988,SOAN,2016 - 2017
mm480,ENST,2016 - 2017
ms269,ECON,2016 - 2017
jm672,POSC,2016 - 2017
mh143,ECON,2016 - 2017
eg384,PHAS,2016 - 2017
bj596,PBSC,2016 - 2017
kr141,ENGL,2016 - 2017
ls851,ARTS,2016 - 2017
ml437,BIOL,2016 - 2017
ab303,EDUC,2016 - 2017
cm222,ENGL,2016 - 2017
pb498,HIST,2016 - 2017
ah603,HIST,2016 - 2017
pj727,ENGL,2016 - 2017
sb498,MUSI,2016 - 2017
ds152,GEOG,2016 - 2017
sr258,CHEM,2016 - 2017
kc325,ENGL,2016 - 2017
ag735,EDUC,2016 - 2017
sl817,PHAS,2016 - 2017
ar827,EDUC,2016 - 2017
bp856,RMLL,2016 - 2017
sy934,POSC,2016 - 2017
nh526,RMLL,2016 - 2017
jh355,ENGL,2016 - 2017
no143,ENGL,2016 - 2017
jb822,GERM,2016 - 2017
lc678,BIOL,2016 - 2017
jr945,EALL,2016 - 2017
dw956,ARTS,2016 - 2017
rr134,HIST,2016 - 2017
mp306,PBSC,2016 - 2017
mw337,RMLL,2016 - 2017
zm880,POSC,2016 - 2017
cc859,EDUC,2016 - 2017
rj665,GEOG,2016 - 2017
dm649,RELG,2016 - 2017
ah447,PBSC,2016 - 2017
mm861,SOAN,2016 - 2017
rs677,ARTS,2016 - 2017
ar838,SOAN,2016 - 2017
ab871,ARTS,2016 - 2017
bm932,ENGL,2016 - 2017
jc882,BIOL,2016 - 2017
ha672,GEOG,2016 - 2017
tr268,ENGL,2016 - 2017
aw403,ECON,2016 - 2017
bj613,EDUC,2016 - 2017
sr673,SOAN,2016 - 2017
ba443,SOAN,2016 - 2017
dp831,EDUC,2016 - 2017
np251,COSC,2016 - 2017
bj666,RMLL,2016 - 2017
tw753,PHIL,2016 - 2017
es932,SOAN,2016 - 2017
tr844,WRIT,2016 - 2017
sg393,PBSC,2016 - 2017
cf444,EDUC,2016 - 2017
br746,MATH,2016 - 2017
kc340,WRIT,2016 - 2017
jg657,EDUC,2016 - 2017
nh849,EDUC,2016 - 2017
rn349,RMLL,2016 - 2017
dh372,GERM,2016 - 2017
ra914,ARTS,2016 - 2017
mn710,POSC,2016 - 2017
jj745,GEOG,2016 - 2017
rl692,RELG,2016 - 2017
tm106,CLAS,2016 - 2017
kh996,GEOG,2016 - 2017
dr959,WRIT,2016 - 2017
rr410,POSC,2016 - 2017
cb294,BIOL,2016 - 2017
ar673,ARTS,2016 - 2017
ea361,WRIT,2016 - 2017
cc754,EEGS,2016 - 2017
ja525,ENGL,2016 - 2017
ac176,THEA,2016 - 2017
nc528,EDUC,2016 - 2017
ab404,WRIT,2016 - 2017
ns123,HIST,2016 - 2017
sp809,CLAS,2016 - 2017
jd830,ENST,2016 - 2017
bh844,PBSC,2016 - 2017
mm648,RELG,2016 - 2017
jm255,THEA,2016 - 2017
sb110,RMLL,2016 - 2017
mr709,RMLL,2016 - 2017
hw426,SOAN,2016 - 2017
pa570,ENGL,2016 - 2017
jr708,COSC,2016 - 2017
rw907,PHAS,2016 - 2017
cc634,HIST,2016 - 2017
ds124,SOAN,2016 - 2017
dp427,MUSI,2016 - 2017
cw854,RMLL,2016 - 2017
kl224,RMLL,2016 - 2017
sf714,MATH,2016 - 2017
tj628,HIST,2016 - 2017
lr321,THEA,2016 - 2017
cd869,WRIT,2016 - 2017
kb868,ENGL,2016 - 2017
tg220,RELG,2016 - 2017
mr280,ARTS,2016 - 2017
co264,SOAN,2016 - 2017
ha263,PHAS,2016 - 2017
ar955,PBSC,2016 - 2017
jc191,HIST,2016 - 2017
bm435,EDUC,2016 - 2017
mc511,PHAS,2016 - 2017
dg870,ENGL,2016 - 2017
gm814,BIOL,2016 - 2017
jw469,ECON,2016 - 2017
ba623,SOAN,2016 - 2017
mr439,POSC,2016 - 2017
tg768,EEGS,2016 - 2017
ck501,HIST,2016 - 2017
hb500,GEOG,2016 - 2017
ch222,COSC,2016 - 2017
rl826,HIST,2016 - 2017
jr589,MATH,2016 - 2017
kr944,POSC,2016 - 2017
rs398,MATH,2016 - 2017
tw443,EEGS,2016 - 2017
sg981,BIOL,2016 - 2017
bf916,RMLL,2016 - 2017
dd883,HIST,2016 - 2017
ac701,BIOL,2016 - 2017
at478,ENGL,2016 - 2017
tw657,MUSI,2016 - 2017
bt952,PHAS,2016 - 2017
jt631,HIST,2016 - 2017
jc495,PBSC,2016 - 2017
wm622,EDUC,2016 - 2017
ad276,SOAN,2016 - 2017
pp295,SOAN,2016 - 2017
ds882,ENGL,2016 - 2017
ag244,ENGL,2016 - 2017
an981,MELL,2016 - 2017
cr964,CLAS,2016 - 2017
tg615,THEA,2016 - 2017
cj569,EDUC,2016 - 2017
jl447,PBSC,2016 - 2017
jf502,COSC,2016 - 2017
db297,RMLL,2016 - 2017
jr850,PBSC,2016 - 2017
ah252,POSC,2016 - 2017
aw628,ARTS,2016 - 2017
mn263,ARTS,2016 - 2017
ep290,EDUC,2016 - 2017
sb608,PBSC,2016 - 2017
sc526,ARTS,2016 - 2017
rl557,POSC,2016 - 2017
kw456,RMLL,2016 - 2017
tm714,HIST,2016 - 2017
ll452,ARTS,2016 - 2017
pm324,BIOL,2016 - 2017
sb455,EALL,2016 - 2017
sh961,SOAN,2016 - 2017
jp328,ECON,2016 - 2017
sa566,ENGL,2016 - 2017
kr388,ENGL,2016 - 2017
ts257,THEA,2016 - 2017
cs978,CLAS,2016 - 2017
fc333,HIST,2016 - 2017
es103,ECON,2016 - 2017
mb674,ENGL,2016 - 2017
ct644,PHIL,2016 - 2017
yp585,ARTS,2016 - 2017
cr373,WRIT,2016 - 2017
rt205,RELG,2016 - 2017
tj913,ENGL,2016 - 2017
mm858,HIST,2016 - 2017
to679,ARTS,2016 - 2017
jw710,MUSI,2016 - 2017
jn403,PBSC,2016 - 2017
eb603,RMLL,2016 - 2017
ap938,ENGL,2016 - 2017
jv349,CLAS,2016 - 2017
jc709,MATH,2016 - 2017
em675,CLAS,2016 - 2017
rt242,HIST,2016 - 2017
mg542,GEOG,2016 - 2017
de588,RMLL,2016 - 2017
cd759,RMLL,2016 - 2017
mn439,BIOL,2016 - 2017
st156,HIST,2016 - 2017
js832,ARTS,2016 - 2017
am715,HIST,2016 - 2017
mc682,GEOG,2016 - 2017
dl517,PHAS,2016 - 2017
js994,POSC,2016 - 2017
ah188,POSC,2016 - 2017
nw749,POSC,2016 - 2017
dc792,MUSI,2016 - 2017
vt183,HIST,2016 - 2017
tl237,PHAS,2016 - 2017
dn773,ARTS,2016 - 2017
sw464,ARTS,2016 - 2017
vd591,HIST,2016 - 2017
db963,PBSC,2016 - 2017
rw920,MATH,2016 - 2017
cl409,ENST,2016 - 2017
bg510,HIST,2016 - 2017
am291,SOAN,2016 - 2017
kw862,PBSC,2016 - 2017
mw530,PBSC,2016 - 2017
tp356,BIOL,2016 - 2017
cp511,ARTS,2016 - 2017
ec780,EDUC,2016 - 2017
lw490,SOAN,2016 - 2017
dm465,SOAN,2016 - 2017
sr968,GEOG,2016 - 2017
jc312,POSC,2016 - 2017
ef374,BIOL,2016 - 2017
db417,PHAS,2016 - 2017
th155,THEA,2016 - 2017
rl262,RMLL,2016 - 2017
dl683,RELG,2016 - 2017
cb979,CLAS,2016 - 2017
sr107,CLAS,2016 - 2017
ac487,GERM,2016 - 2017
mc828,SOAN,2016 - 2017
ds968,ENGL,2016 - 2017
ss802,POSC,2016 - 2017
bb508,WRIT,2016 - 2017
rd626,POSC,2016 - 2017
jp755,POSC,2016 - 2017
mh196,BIOL,2016 - 2017
bc363,HIST,2016 - 2017
jh691,POSC,2016 - 2017
tg160,RMLL,2016 - 2017
am920,POSC,2016 - 2017
cf613,ENGL,2016 - 2017
jf381,BIOL,2016 - 2017
jp934,THEA,2016 - 2017
mj443,CLAS,2016 - 2017
mc800,THEA,2016 - 2017
dc901,PHIL,2016 - 2017
rl810,SOAN,2016 - 2017
jc748,CHEM,2016 - 2017
df363,EDUC,2016 - 2017
jp124,ENGL,2016 - 2017
sc825,EEGS,2016 - 2017
pj105,THEA,2016 - 2017
rp282,RELG,2016 - 2017
dr437,PHAS,2016 - 2017
mp121,BIOL,2016 - 2017
st738,THEA,2016 - 2017
kg496,HIST,2016 - 2017
tj545,PBSC,2016 - 2017
nh212,ENGL,2016 - 2017
kg984,MATH,2016 - 2017
mj764,SOAN,2016 - 2017
dw563,EDUC,2016 - 2017
al631,RELG,2016 - 2017
er249,PBSC,2016 - 2017
am363,PHIL,2016 - 2017
lj848,WRIT,2016 - 2017
zr813,SOAN,2016 - 2017
sc553,RMLL,2016 - 2017
wt928,HIST,2016 - 2017
ch513,PHAS,2016 - 2017
nm745,GEOG,2016 - 2017
iv604,WRIT,2016 - 2017
mr564,RMLL,2016 - 2017
sb618,ENGL,2016 - 2017
jb323,BIOL,2016 - 2017
ej993,HIST,2016 - 2017
am977,GEOG,2016 - 2017
sa270,SOAN,2016 - 2017
cm126,ENGL,2016 - 2017
cv939,HIST,2016 - 2017
dw797,GEOG,2016 - 2017
ds571,PHAS,2016 - 2017
mm901,HIST,2016 - 2017
gp238,EDUC,2016 - 2017
jb620,WRIT,2016 - 2017
km649,MUSI,2016 - 2017
mt799,CHEM,2016 - 2017
wm109,EALL,2016 - 2017
pm615,ENST,2016 - 2017
rf447,ENST,2016 - 2017
aw416,MUSI,2016 - 2017
jl886,ARTS,2016 - 2017
cm215,BIOL,2016 - 2017
jl616,ENGL,2016 - 2017
km121,PBSC,2016 - 2017
ah272,ECON,2016 - 2017
bh428,EDUC,2016 - 2017
kg573,EALL,2016 - 2017
rt986,EDUC,2016 - 2017
mc378,ENGL,2016 - 2017
jh877,PHAS,2016 - 2017
jd810,SOAN,2016 - 2017
dg711,ENGL,2016 - 2017
pt998,EDUC,2016 - 2017
jb687,ENGL,2016 - 2017
to782,ENST,2016 - 2017
tc755,BIOL,2016 - 2017
mk952,MUSI,2016 - 2017
el952,CLAS,2016 - 2017
rh236,SOAN,2016 - 2017
ma239,EDUC,2016 - 2017
ck239,COSC,2016 - 2017
mf256,HIST,2016 - 2017
ct456,EALL,2016 - 2017
cd138,HIST,2016 - 2017
dg203,MATH,2016 - 2017
es994,BIOL,2016 - 2017
ll311,CHEM,2016 - 2017
kp391,ENGL,2016 - 2017
ml732,GEOG,2016 - 2017
pf881,PHAS,2016 - 2017
dc696,COSC,2016 - 2017
ss111,ENGL,2016 - 2017
sg249,ENGL,2016 - 2017
ms197,HIST,2016 - 2017
js569,WRIT,2016 - 2017
cm137,RMLL,2016 - 2017
ej552,EDUC,2016 - 2017
sh772,SOAN,2016 - 2017
jj391,PBSC,2016 - 2017
cs270,CHEM,2016 - 2017
jl214,MUSI,2016 - 2017
wl935,SOAN,2016 - 2017
js443,ECON,2016 - 2017
jp309,POSC,2016 - 2017
jj129,THEA,2016 - 2017
cm276,CHEM,2016 - 2017
cs764,HIST,2016 - 2017
dl505,RELG,2016 - 2017
jw738,WRIT,2016 - 2017
sc217,CLAS,2016 - 2017
jl108,RMLL,2016 - 2017
ms299,EDUC,2016 - 2017
rr119,ECON,2016 - 2017
cg688,EDUC,2016 - 2017
pr565,ECON,2016 - 2017
vb706,PHAS,2016 - 2017
kq985,CLAS,2016 - 2017
js973,CLAS,2016 - 2017
gg106,ECON,2016 - 2017
jc492,SOAN,2016 - 2017
jo927,BIOL,2016 - 2017
mm418,GERM,2016 - 2017
ej805,BIOL,2016 - 2017
sd372,ARTS,2016 - 2017
td177,HIST,2016 - 2017
bi895,SOAN,2016 - 2017
jw351,THEA,2016 - 2017
jc525,GEOG,2016 - 2017
rb713,ENGL,2016 - 2017
ja246,PHAS,2016 - 2017
kf286,BIOL,2016 - 2017
jh997,GEOG,2016 - 2017
vr434,BIOL,2016 - 2017
ah458,BIOL,2016 - 2017
lw190,RMLL,2016 - 2017
av231,ENGL,2016 - 2017
jo421,PHIL,2016 - 2017
mb558,RELG,2016 - 2017
bj774,BIOL,2016 - 2017
sc622,HIST,2016 - 2017
tj994,BIOL,2016 - 2017
lm766,MUSI,2016 - 2017
kb361,ENGL,2016 - 2017
em642,SOAN,2016 - 2017
ah725,ECON,2016 - 2017
dl523,BIOL,2016 - 2017
hb711,BIOL,2016 - 2017
je611,HIST,2016 - 2017
cg536,HIST,2016 - 2017
jw577,EDUC,2016 - 2017
cb851,EALL,2016 - 2017
sr639,CHEM,2016 - 2017
cm723,CLAS,2016 - 2017
sg537,RMLL,2016 - 2017
kb225,EDUC,2016 - 2017
cs291,BIOL,2016 - 2017
gj770,POSC,2016 - 2017
tr935,MUSI,2016 - 2017
hr734,MUSI,2016 - 2017
rw590,SOAN,2016 - 2017
eb336,RELG,2016 - 2017
hj537,EEGS,2016 - 2017
eg916,PBSC,2016 - 2017
lg904,THEA,2016 - 2017
cs867,EDUC,2016 - 2017
ha505,PBSC,2016 - 2017
jp615,WRIT,2016 - 2017
jj841,EDUC,2016 - 2017
ds269,MUSI,2016 - 2017
tr604,BIOL,2016 - 2017
ap141,POSC,2016 - 2017
as216,PBSC,2016 - 2017
wm672,EEGS,2016 - 2017
aa448,POSC,2016 - 2017
al700,ARTS,2016 - 2017
ah844,ENGL,2016 - 2017
tb364,ECON,2016 - 2017
cp466,PHAS,2016 - 2017
gb424,HIST,2016 - 2017
td370,ECON,2016 - 2017
mr807,ARTS,2016 - 2017
tw591,BIOL,2016 - 2017
ka117,HIST,2016 - 2017
dr490,RMLL,2016 - 2017
cw212,GEOG,2016 - 2017
nh947,CHEM,2016 - 2017
mc819,GEOG,2016 - 2017
cb176,EDUC,2016 - 2017
gi132,GEOG,2016 - 2017
tb968,PBSC,2016 - 2017
ms997,BIOL,2016 - 2017
tm137,ARTS,2016 - 2017
ca244,GERM,2016 - 2017
cc169,EEGS,2016 - 2017
gb462,SOAN,2016 - 2017
cw204,PHIL,2016 - 2017
ar218,ARTS,2016 - 2017
el632,BIOL,2016 - 2017
sl619,EDUC,2016 - 2017
jd178,MELL,2016 - 2017
bv696,ENST,2016 - 2017
dg428,EDUC,2016 - 2017
jl637,SOAN,2016 - 2017
ac784,ECON,2016 - 2017
ds444,POSC,2016 - 2017
kr655,ARTS,2016 - 2017
jn690,GERM,2016 - 2017
tm213,BIOL,2016 - 2017
cs329,POSC,2016 - 2017
bh430,POSC,2016 - 2017
jh192,SOAN,2016 - 2017
cb841,PBSC,2016 - 2017
ms695,SOAN,2016 - 2017
as257,RELG,2016 - 2017
cc916,GERM,2016 - 2017
dd132,POSC,2016 - 2017
mm949,PHAS,2016 - 2017
kb740,MUSI,2016 - 2017
dc694,GERM,2016 - 2017
eg296,SOAN,2016 - 2017
ss478,SOAN,2016 - 2017
js800,ECON,2016 - 2017
sh636,PHIL,2016 - 2017
jw862,PBSC,2016 - 2017
pf463,SOAN,2016 - 2017
dt149,PBSC,2016 - 2017
rs610,SOAN,2016 - 2017
aj741,POSC,2016 - 2017
ts471,EDUC,2016 - 2017
gr289,ECON,2016 - 2017
gb272,BIOL,2016 - 2017
pm999,ENGL,2016 - 2017
sb281,RELG,2016 - 2017
ad726,MUSI,2016 - 2017
lg383,CLAS,2016 - 2017
mg171,HIST,2016 - 2017
zh243,PBSC,2016 - 2017
rf731,SOAN,2016 - 2017
kb530,PHIL,2016 - 2017
ag240,EDUC,2016 - 2017
mb368,HIST,2016 - 2017
aw914,PBSC,2016 - 2017
sr433,EALL,2016 - 2017
jj121,MUSI,2016 - 2017
ah442,POSC,2016 - 2017
mm484,CLAS,2016 - 2017
eb801,ECON,2016 - 2017
cd247,POSC,2016 - 2017
rh465,SOAN,2016 - 2017
ma738,EDUC,2016 - 2017
cr248,ECON,2016 - 2017
lp785,RMLL,2016 - 2017
jh732,HIST,2016 - 2017
mw910,ARTS,2016 - 2017
km897,MATH,2016 - 2017
dp369,SOAN,2016 - 2017
tm625,ENGL,2016 - 2017
rc583,RELG,2016 - 2017
eh255,WRIT,2016 - 2017
mw655,GERM,2016 - 2017
el685,PBSC,2016 - 2017
sr232,ECON,2016 - 2017
cb409,ARTS,2016 - 2017
er505,BIOL,2016 - 2017
bm622,ENGL,2016 - 2017
bm996,RMLL,2016 - 2017
vw145,BIOL,2016 - 2017
pw751,ENGL,2016 - 2017
ab332,ENGL,2016 - 2017
tf369,BIOL,2016 - 2017
jl984,SOAN,2016 - 2017
wg236,HIST,2016 - 2017
jw153,PHIL,2016 - 2017
bd288,BIOL,2016 - 2017
lg987,ENST,2016 - 2017
lt543,RMLL,2016 - 2017
cw123,BIOL,2016 - 2017
cm330,HIST,2016 - 2017
jc534,SOAN,2016 - 2017
ab112,ARTS,2016 - 2017
mw678,EDUC,2016 - 2017
mk274,EALL,2016 - 2017
gs709,HIST,2016 - 2017
kw697,POSC,2016 - 2017
mg768,HIST,2016 - 2017
jy642,SOAN,2016 - 2017
jj735,CHEM,2016 - 2017
jr726,SOAN,2016 - 2017
df527,SOAN,2016 - 2017
sj966,PBSC,2016 - 2017
sj919,ECON,2016 - 2017
sm446,RELG,2016 - 2017
ms579,ENGL,2016 - 2017
ds885,PBSC,2016 - 2017
de486,RELG,2016 - 2017
cw657,RMLL,2016 - 2017
ap145,SOAN,2016 - 2017
